die_id,lot_id,timestamp,iddq,leakage_current,prop_delay
COMP_0,23,0,4.1526,11.031,191.97
COMP_0,23,24,4.3256,12.0646,194.6935
COMP_0,23,96,3.8852,12.6173,197.0723
COMP_0,23,168,4.2257,12.7716,198.8147
COMP_1,32,0,5.0149,11.3757,196.5265
COMP_1,32,24,5.0058,12.4382,199.0089
COMP_1,32,96,4.7841,12.6191,201.0231
COMP_1,32,168,5.1797,12.808,202.9819
COMP_2,23,0,4.395,11.4946,193.3868
COMP_2,23,24,4.4595,12.3708,195.986
COMP_2,23,96,4.1845,12.6983,198.4956
COMP_2,23,168,4.3832,12.7663,199.7313
COMP_3,10,0,4.563,9.2742,190.2164
COMP_3,10,24,4.616,10.2753,192.4508
COMP_3,10,96,4.7657,10.6671,194.6506
COMP_3,10,168,4.6536,10.6737,196.5833
COMP_4,48,0,5.1902,10.2746,201.8845
COMP_4,48,24,5.1627,11.2893,204.4541
COMP_4,48,96,5.3581,11.5141,236.3376
COMP_4,48,168,5.2975,11.6183,296.1352
COMP_5,7,0,5.1379,10.4367,201.7623
COMP_5,7,24,5.4007,11.3676,204.2399
COMP_5,7,96,5.1518,11.8989,206.3923
COMP_5,7,168,5.3231,12.0631,208.3
COMP_6,35,0,4.6315,9.1393,208.5552
COMP_6,35,24,4.6597,10.1601,211.3759
COMP_6,35,96,4.632,10.8107,213.8748
COMP_6,35,168,4.5747,10.7589,215.6412
COMP_7,37,0,4.2275,10.5544,197.7504
COMP_7,37,24,4.2036,11.5557,199.8999
COMP_7,37,96,4.1028,11.9456,202.2433
COMP_7,37,168,4.2125,12.0092,204.1697
COMP_8,39,0,5.2922,10.6447,194.0793
COMP_8,39,24,5.1463,11.5042,196.6245
COMP_8,39,96,5.2109,11.8863,198.819
COMP_8,39,168,5.132,12.3623,200.1017
COMP_9,19,0,4.4844,9.4654,204.5055
COMP_9,19,24,4.3126,10.2069,206.9824
COMP_9,19,96,4.3798,10.5434,209.686
COMP_9,19,168,4.503,10.9076,211.1519
COMP_10,34,0,5.6033,9.3866,195.8058
COMP_10,34,24,5.7228,10.2423,198.6369
COMP_10,34,96,5.6414,10.98,200.4563
COMP_10,34,168,5.7182,10.9414,202.4452
COMP_11,47,0,5.0878,10.27,193.3171
COMP_11,47,24,5.1087,11.2246,195.9415
COMP_11,47,96,5.22,11.7026,198.2616
COMP_11,47,168,5.1466,11.9852,200.0795
COMP_12,24,0,4.7621,7.6185,203.8697
COMP_12,24,24,4.7217,8.6272,206.3211
COMP_12,24,96,4.7187,9.0113,208.8702
COMP_12,24,168,4.7647,9.2656,210.1178
COMP_13,34,0,5.6858,8.9555,193.4923
COMP_13,34,24,5.7717,9.9061,195.9719
COMP_13,34,96,5.6767,10.3746,198.7479
COMP_13,34,168,5.7512,10.4143,200.1555
COMP_14,24,0,4.9238,7.5176,201.4288
COMP_14,24,24,4.964,8.4583,203.6909
COMP_14,24,96,4.9704,9.0333,205.7588
COMP_14,24,168,4.8163,9.2077,207.8916
COMP_15,28,0,4.9066,10.9329,201.7868
COMP_15,28,24,4.8542,12.3191,204.1966
COMP_15,28,96,4.9373,12.4471,206.4915
COMP_15,28,168,4.6821,12.6048,208.037
COMP_16,17,0,4.9442,11.2553,196.1138
COMP_16,17,24,5.0256,12.509,198.6672
COMP_16,17,96,5.0024,12.9176,200.8486
COMP_16,17,168,5.0706,13.1148,202.5982
COMP_17,45,0,4.7793,8.5918,205.3893
COMP_17,45,24,4.6936,9.3895,207.7654
COMP_17,45,96,4.7239,9.6973,209.8452
COMP_17,45,168,4.7574,9.8881,211.6175
COMP_18,17,0,5.4218,10.9179,196.3369
COMP_18,17,24,5.3029,11.9258,198.4885
COMP_18,17,96,5.2819,12.051,200.9034
COMP_18,17,168,5.0633,12.3946,202.4706
COMP_19,1,0,4.5634,9.3042,195.9677
COMP_19,1,24,4.8757,10.0985,198.0716
COMP_19,1,96,4.7631,10.3859,200.8412
COMP_19,1,168,4.8008,10.6533,202.4848
COMP_20,34,0,5.5698,8.4466,197.1138
COMP_20,34,24,5.6227,9.3636,199.7239
COMP_20,34,96,5.7421,10.1085,202.2036
COMP_20,34,168,5.5266,10.2724,203.879
COMP_21,15,0,4.569,11.097,201.7137
COMP_21,15,24,4.6209,11.9767,204.0832
COMP_21,15,96,4.6559,12.2226,206.4348
COMP_21,15,168,4.5243,12.6243,208.4166
COMP_22,40,0,5.0391,10.2149,202.5154
COMP_22,40,24,5.122,11.0448,204.9022
COMP_22,40,96,5.261,11.4279,207.209
COMP_22,40,168,5.096,11.6425,208.9626
COMP_23,35,0,4.0996,9.5091,206.4136
COMP_23,35,24,4.0342,10.4289,208.8677
COMP_23,35,96,4.1231,10.8407,211.0257
COMP_23,35,168,4.2048,11.0349,212.7924
COMP_24,32,0,4.8468,11.6611,195.1124
COMP_24,32,24,4.7127,12.6401,198.292
COMP_24,32,96,4.8907,12.9896,200.2356
COMP_24,32,168,4.8715,13.2328,201.9474
COMP_25,3,0,5.694,10.8392,195.8292
COMP_25,3,24,5.8445,11.7961,198.2805
COMP_25,3,96,5.8077,12.4629,200.9516
COMP_25,3,168,5.7102,12.3854,202.1651
COMP_26,32,0,4.7614,11.1572,193.8356
COMP_26,32,24,4.689,12.2554,196.4888
COMP_26,32,96,5.0201,12.4455,199.3494
COMP_26,32,168,4.91,12.591,200.6037
COMP_27,13,0,3.9176,9.0233,211.5785
COMP_27,13,24,3.9706,10.069,214.0811
COMP_27,13,96,3.8602,10.3963,216.2756
COMP_27,13,168,3.8249,10.6151,218.1048
COMP_28,20,0,5.6016,10.1607,203.3669
COMP_28,20,24,5.517,11.2791,205.993
COMP_28,20,96,5.5317,11.6025,208.1434
COMP_28,20,168,5.4332,11.7543,209.9605
COMP_29,47,0,5.5894,10.408,192.9819
COMP_29,47,24,5.5738,11.075,195.7708
COMP_29,47,96,5.5367,11.5494,197.793
COMP_29,47,168,5.4392,11.7937,199.8898
COMP_30,19,0,4.4567,9.4212,203.0252
COMP_30,19,24,4.5831,10.4148,205.5072
COMP_30,19,96,4.4211,10.8135,207.9024
COMP_30,19,168,4.4457,11.0817,209.6602
COMP_31,7,0,5.3043,9.9233,200.6283
COMP_31,7,24,5.3928,10.8648,202.6914
COMP_31,7,96,5.3754,11.2326,205.8022
COMP_31,7,168,5.4157,11.3876,206.8183
COMP_32,6,0,5.9846,8.7633,209.8081
COMP_32,6,24,6.175,9.7788,212.2627
COMP_32,6,96,6.1598,10.0634,214.6878
COMP_32,6,168,6.0985,10.2619,216.1498
COMP_33,2,0,5.2713,8.5497,199.1611
COMP_33,2,24,5.007,9.5199,201.9078
COMP_33,2,96,4.955,9.8698,204.1471
COMP_33,2,168,5.1585,10.0934,205.6712
COMP_34,16,0,4.4458,10.3026,198.3187
COMP_34,16,24,4.1841,11.0909,200.6407
COMP_34,16,96,4.3963,11.6247,203.4463
COMP_34,16,168,4.4531,11.5644,204.7055
COMP_35,32,0,4.9044,11.5844,193.9994
COMP_35,32,24,5.075,12.5458,196.2659
COMP_35,32,96,5.273,12.7988,198.3862
COMP_35,32,168,5.0835,13.0638,200.5626
COMP_36,47,0,5.6718,10.4653,195.5965
COMP_36,47,24,5.7088,11.4786,198.2361
COMP_36,47,96,5.6566,11.9083,200.3954
COMP_36,47,168,5.5152,12.0692,202.6327
COMP_37,11,0,5.1238,10.6141,200.3741
COMP_37,11,24,5.1852,11.5646,203.0845
COMP_37,11,96,5.0921,11.9171,205.4282
COMP_37,11,168,4.8414,11.984,206.8462
COMP_38,21,0,4.5053,11.3103,194.3302
COMP_38,21,24,4.6918,12.4348,196.8052
COMP_38,21,96,4.6954,12.9001,199.5519
COMP_38,21,168,4.6224,12.7916,200.9908
COMP_39,21,0,4.8908,11.4796,194.1052
COMP_39,21,24,4.9082,12.2319,196.674
COMP_39,21,96,4.7684,12.8105,198.8573
COMP_39,21,168,4.9545,12.8561,200.4248
COMP_40,45,0,4.5335,8.7046,205.1043
COMP_40,45,24,4.8135,9.5427,207.4911
COMP_40,45,96,4.6625,10.0524,209.8764
COMP_40,45,168,4.6852,10.3954,211.4249
COMP_41,29,0,4.4841,7.5478,200.1152
COMP_41,29,24,4.5293,8.5968,202.7044
COMP_41,29,96,4.4649,9.1072,205.2191
COMP_41,29,168,4.3757,9.2022,206.554
COMP_42,37,0,3.6581,10.7025,196.9276
COMP_42,37,24,3.8407,11.7292,199.55
COMP_42,37,96,3.6489,11.9026,202.3775
COMP_42,37,168,3.7277,12.2152,203.5292
COMP_43,37,0,3.998,10.2633,200.4098
COMP_43,37,24,3.7526,11.3336,202.7931
COMP_43,37,96,3.6856,11.517,205.2145
COMP_43,37,168,3.9186,11.9683,206.5981
COMP_44,44,0,4.0171,9.1486,201.1288
COMP_44,44,24,3.9677,10.1315,203.5651
COMP_44,44,96,3.8047,10.4163,206.3859
COMP_44,44,168,3.9514,10.9204,207.8101
COMP_45,7,0,5.3168,9.6568,200.8178
COMP_45,7,24,5.3586,10.6025,203.0794
COMP_45,7,96,5.474,11.1114,205.4805
COMP_45,7,168,5.2752,11.2063,207.3093
COMP_46,26,0,4.6748,10.0355,195.8982
COMP_46,26,24,4.7121,10.9921,198.4676
COMP_46,26,96,4.4741,11.5073,200.4602
COMP_46,26,168,4.75,11.6397,202.5558
COMP_47,26,0,4.344,10.0848,192.5693
COMP_47,26,24,4.1479,11.0815,194.8533
COMP_47,26,96,4.3921,11.6839,197.6786
COMP_47,26,168,4.2418,11.7122,199.3127
COMP_48,33,0,4.563,9.2674,204.284
COMP_48,33,24,4.7847,10.4521,206.6144
COMP_48,33,96,4.5803,10.6351,209.4694
COMP_48,33,168,4.6462,10.8157,210.4058
COMP_49,20,0,5.3649,10.1894,203.8797
COMP_49,20,24,5.5152,11.333,206.9641
COMP_49,20,96,5.3832,11.6359,209.3748
COMP_49,20,168,5.4577,11.8947,210.8096
COMP_50,29,0,4.7681,7.6954,196.5397
COMP_50,29,24,4.6402,8.9949,199.3299
COMP_50,29,96,4.7154,9.2361,201.5242
COMP_50,29,168,4.718,9.6588,203.1435
COMP_51,32,0,4.9794,10.9046,196.2443
COMP_51,32,24,4.808,11.907,198.6803
COMP_51,32,96,4.9001,12.3878,200.9208
COMP_51,32,168,5.0268,12.4133,202.7362
COMP_52,27,0,5.0267,9.6297,197.4517
COMP_52,27,24,5.1047,10.4181,199.9759
COMP_52,27,96,5.1739,10.8438,202.4058
COMP_52,27,168,5.0426,10.8743,203.6776
COMP_53,46,0,4.4131,10.1961,192.7752
COMP_53,46,24,4.4198,11.131,194.9576
COMP_53,46,96,4.4804,11.7515,214.6592
COMP_53,46,168,4.4798,11.8015,272.2029
COMP_54,32,0,4.6617,11.4397,193.1301
COMP_54,32,24,4.7155,12.2921,195.7031
COMP_54,32,96,4.7624,12.8276,197.9852
COMP_54,32,168,4.5889,12.961,200.0548
COMP_55,4,0,4.5978,11.3278,200.9255
COMP_55,4,24,4.62,12.1856,203.8408
COMP_55,4,96,4.588,12.6889,205.6367
COMP_55,4,168,4.5539,12.8339,207.1478
COMP_56,47,0,5.6673,9.9582,194.3799
COMP_56,47,24,5.5975,10.7261,196.7168
COMP_56,47,96,5.642,11.2803,199.2879
COMP_56,47,168,5.5345,11.3266,200.646
COMP_57,18,0,4.6296,9.4951,206.1616
COMP_57,18,24,4.5311,10.8771,208.4224
COMP_57,18,96,4.6123,11.1106,211.0162
COMP_57,18,168,4.6794,11.3551,212.4339
COMP_58,3,0,5.0736,10.1562,196.8767
COMP_58,3,24,5.1479,11.4179,198.8966
COMP_58,3,96,4.9667,11.8407,201.3037
COMP_58,3,168,5.1729,11.9326,202.9298
COMP_59,34,0,5.7177,8.8838,194.9177
COMP_59,34,24,5.4918,9.7547,197.5657
COMP_59,34,96,5.7764,9.9916,199.7346
COMP_59,34,168,5.6645,10.3201,201.6223
COMP_60,48,0,4.7283,10.4046,201.4595
COMP_60,48,24,4.741,11.6669,203.6821
COMP_60,48,96,4.7776,12.0101,206.4363
COMP_60,48,168,4.6121,12.1709,208.2795
COMP_61,16,0,4.7574,10.0212,199.3175
COMP_61,16,24,4.6359,10.825,201.4907
COMP_61,16,96,4.7346,11.3511,203.6007
COMP_61,16,168,4.6187,11.5029,205.7182
COMP_62,43,0,4.9888,9.4243,201.3997
COMP_62,43,24,5.1308,10.5213,203.9169
COMP_62,43,96,5.0012,10.9875,206.1628
COMP_62,43,168,5.1461,11.0125,207.6451
COMP_63,27,0,5.3973,9.8662,197.6987
COMP_63,27,24,5.3766,10.9194,199.891
COMP_63,27,96,5.5311,11.3491,202.4175
COMP_63,27,168,5.4524,11.5406,203.8131
COMP_64,29,0,4.546,7.3762,198.0975
COMP_64,29,24,4.624,8.5889,200.3907
COMP_64,29,96,4.7672,8.8585,203.1936
COMP_64,29,168,4.7594,9.0299,204.2571
COMP_65,28,0,4.6937,9.896,201.0464
COMP_65,28,24,4.7799,10.7248,203.6703
COMP_65,28,96,4.6021,11.392,205.8896
COMP_65,28,168,4.7503,11.5074,207.6849
COMP_66,45,0,4.7434,8.3607,204.0641
COMP_66,45,24,4.5278,9.3855,206.0954
COMP_66,45,96,4.5212,9.6417,208.9025
COMP_66,45,168,4.6264,9.8513,210.6618
COMP_67,5,0,5.1571,11.3075,202.5523
COMP_67,5,24,5.3024,12.236,205.2001
COMP_67,5,96,5.3356,12.5655,206.8665
COMP_67,5,168,5.1239,12.7624,209.0624
COMP_68,34,0,5.4733,8.6726,195.5055
